family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
hash seed 1,400,,0,1000,3.504700,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_hashseed1_seed6rerun_1500_20260610.txt
hash seed 1,400,5,1,1500,3.244200,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_hashseed1_seed5_1500_20260610.txt
hash seed 1,400,6,0,500,7.246900,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_hashseed1_seed6_1500_20260610.txt
hash seed 10,400,5,0,250,8.541800,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed10_seed5_1500_20260611.txt
hash seed 2,400,5,0,250,8.513800,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_hashseed2_seed5_1500_20260610.txt
hash seed 26,400,5,0,250,8.521400,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed26_seed5_1500_20260611.txt
hash seed 3,400,5,0,500,7.242400,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_hashseed3_seed5_1500_20260610.txt
hash seed 4,400,5,0,500,7.242500,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed4_seed5_1500_20260611.txt
hash seed 47,400,5,0,250,8.516300,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed47_seed5_1500_20260611.txt
hash seed 5,400,5,0,750,5.352000,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed5_seed5_1500_20260611.txt
hash seed 6,400,5,0,250,8.518900,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed6_seed5_1500_20260611.txt
hash seed 7,400,5,0,500,7.239900,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed7_seed5_1500_20260611.txt
hash seed 8,400,5,0,500,7.239500,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed8_seed5_1500_20260611.txt
hash seed 9,400,5,0,500,7.249200,40243242,384,15453404928,bf400_sota_k2_headmix_layerdelta_norowsigns_hashseed9_seed5_1500_20260611.txt
hot-drop 10% >=1024,300,5,0,500,7.238600,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_hitdrop10_min1024_seed5_1500_20260610.txt
hot-drop 10% >=256,300,5,0,500,7.237300,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_hitdrop10_min256_seed5_1500_20260610.txt
hot-drop 10% >=32,300,5,0,500,7.235800,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hitdropv1_p010_min32_decay500_seed5_1500_20260610.txt
hot-split full auxslot1,300,5,0,500,7.269500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv5_full32_auxslots1_aux0025_seed5_1500_20260610.txt
