row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2
1260960,28489,4.454692449239477,1.7901045,-9.016339,1.9324325,1.6400663,-1.6332378
1260993,14748,4.168762575622357,1.7300454,3.1600678,2.7011135,-0.14984663,0.23410343
1261057,40886,4.611585246253951,1.8271881,-11.494514,-0.5561631,5.5807605,1.5391334
1261282,14,1.1760912590556813,0.26161432,0.01753438,-0.013646383,0.6803047,-1.0914148
1261511,13591,4.133283365860989,1.9009658,-1.7324027,3.6876612,-1.6687247,-2.6664026
1261999,23,1.380211241711606,0.313132,0.40604988,-0.061929498,-1.8651673,-0.8979194
1262017,526,2.7218106152125467,1.0922482,-0.043454908,0.9004918,-2.8017778,-1.9259396
1262144,14243,4.153631965002216,1.5970721,2.1626167,2.1097543,-0.9939705,0.12340927
1262336,13767,4.138870857319504,1.8417532,3.876513,3.085465,0.1593726,-0.6225839
1262388,28321,4.452123918449042,1.9547703,-6.1299815,-3.5011926,1.1192005,2.6769028
1262969,19618,4.292676867185116,1.784252,4.336738,4.8101187,-2.186018,-1.8636359
1263350,8,0.9542425094393249,0.24167289,0.053683534,-0.09253069,1.4843519,-4.0357265
1263736,20456,4.310841945164296,1.7262143,-3.790941,-7.754544,4.131614,5.302959
1263791,11,1.0791812460476249,0.20215811,-0.08182803,-0.34582895,-0.79434395,-2.7888904
1264223,182,2.2624510897304293,0.7040491,-1.2177919,-0.9961822,4.330615,0.5983891
1265205,42,1.6334684555795864,0.35102436,-0.9247078,0.11747157,2.4919372,-0.48420286
1265289,5589,3.747411807886423,1.7597543,-6.028384,-1.3168032,3.6650538,1.5236242
1265364,105,2.0253058652647704,0.531367,-1.3201667,-0.23989409,5.326909,-1.375543
1265788,7,0.9030899869919435,0.22639847,0.27704692,-0.48905456,-1.2235197,1.2530775
1265936,15,1.2041199826559248,0.2596442,1.1160676,-0.5373223,-2.7869036,0.018172145
1266053,16,1.2304489213782739,0.24613063,0.52799463,-0.5630929,-1.2218258,2.622698
1266114,9,1.0,0.22257464,0.40848494,-0.8774374,1.5864054,0.88726705
1266391,1211,3.0835026198302673,1.5996475,1.7342991,-1.5890969,1.8253295,0.9129139
1266544,13981,4.145569297792989,1.7167677,3.940084,3.6780188,0.40394965,0.23666257
1266572,7373,3.8677031332700977,1.8329777,6.549345,3.3310292,-1.0528901,-0.16001719
1266760,30023,4.477468551405026,1.9716038,1.8833013,-1.7496489,-0.96511745,2.117315
1267031,193,2.287801729930226,0.68496925,1.1437541,-0.4663769,-2.5582101,-0.3743058
1267194,476,2.678518379040114,1.1945058,0.9082259,1.1555974,0.022370668,-0.41363713
1267242,78,1.8976270912904414,0.48147804,1.1527987,-0.10771492,-3.227866,0.20689358
1267256,7,0.9030899869919435,0.23460676,0.977171,-0.7540884,1.5180064,2.7562702
1267797,94178,4.973954074758354,1.7554013,-6.561485,3.4751792,3.433154,-1.1770749
1267819,24,1.3979400086720377,0.31656379,1.4784842,-0.65294796,-2.236609,1.5943202
1268508,12093,4.082569964269923,1.7795057,2.8112469,1.0223918,-1.8476794,0.60062146
1268703,155935,5.1929463897012,1.7265487,-6.651335,2.14048,1.957873,0.5954204
1268894,25175,4.4009867299051635,1.8821146,-4.65777,1.7949117,1.8304384,-1.4465109
1269396,27140,4.43362584503636,1.8234801,-4.9566126,0.90824753,3.8303325,-0.57910174
1269861,16118,4.207338095288357,1.8488063,-6.083728,9.746717,1.7920753,-6.1849
1270042,40,1.6127838567197355,0.4264812,-0.0006501679,-0.49558073,-0.6748927,-1.3125435
1270749,26,1.4313637641589874,0.272926,0.9290546,-0.4279512,-1.4181998,-0.7805547
1271161,318,2.503790683057181,0.9984358,-1.1816785,0.17635837,-0.33943498,-1.5546613
1271205,25680,4.409611930846435,1.8327442,3.2937348,5.853688,-1.1024696,-1.5630271
1271248,7,0.9030899869919435,0.17440872,0.21157561,-0.11524991,2.3566031,-1.6204226
1271550,52,1.724275869600789,0.42924663,0.5748773,-1.1307396,-0.08433846,0.7702831
1271741,27,1.4471580313422192,0.30728835,-0.2883993,0.46411452,1.3904829,-3.9941742
1271812,8,0.9542425094393249,0.16169767,0.36640725,0.20120405,-0.48424396,-1.332304
1273008,19,1.3010299956639813,0.29954076,0.30989057,0.0060197297,-0.3269404,-0.8194574
1273337,22069,4.343802333161655,1.8640022,3.7504447,5.165447,-0.7589843,0.6546764
1273874,11,1.0791812460476249,0.24532628,-0.02110551,-0.6127539,2.6024337,2.7591517
1273945,0,0.0,0.010305221,0.2690179,-0.44833803,0.48743987,-0.60921574
1274033,36,1.568201724066995,0.35523418,0.039823785,-0.39604455,2.1159604,0.96551824
1274603,21,1.3424226808222062,0.31391516,0.5983433,1.1535937,0.6344976,-3.2862542
1274758,8,0.9542425094393249,0.2093567,0.42394814,0.3232502,-2.1017268,-5.830828
1274821,26,1.4313637641589874,0.32652798,-0.54972434,-0.43764424,3.2148669,3.6060085
1274896,22992,4.361595639318234,1.8857452,3.2072926,3.1256127,-0.97898614,-0.33002383
1274956,45,1.662757831681574,0.42916793,1.2329931,0.67157215,-3.3914566,-2.6805618
1274996,120,2.0827853703164503,0.6369587,-0.15818724,-1.5405087,0.42059723,4.293592
1275262,11,1.0791812460476249,0.24759613,-0.1230718,-0.0075115897,2.5064344,-1.8166126
1275436,3909,3.5921767573958667,1.873266,-3.0877893,-6.987919,0.9168565,1.3201303
1275632,163,2.214843848047698,0.6796496,-1.2905372,-1.124167,1.3499098,1.2243017
1275677,23,1.380211241711606,0.2615716,0.8109284,-0.5562334,-0.81912506,2.664968
1275846,28,1.462397997898956,0.32867023,0.7126772,0.31189197,-5.23507,-4.270306
1276730,52691,4.7217446831520125,1.7575362,-3.0570946,3.1054,-1.299484,-2.9894912
1276764,151,2.1818435879447726,0.6184598,-1.0011058,-1.8412067,0.31614769,1.6483895
1277233,32,1.5185139398778875,0.3494534,-0.15509161,-0.65932465,0.7690064,0.023539212
1277317,105680,5.023996914110891,1.9087656,2.2896237,3.3093257,-0.6424078,-1.5362654
1277428,284,2.45484486000851,0.8244386,-1.2559507,-0.9787585,3.6009893,1.4433887
1277601,24,1.3979400086720377,0.28984752,0.6435609,-0.7703684,-1.7346617,3.3302982
1277977,28,1.462397997898956,0.2618012,0.42841852,-0.5024554,1.0441064,1.0921618
1278890,14790,4.16999753706657,1.9524139,-1.7973121,1.0041139,-2.4863546,-1.8915707
1279059,4340,3.6375897858387,1.831954,-5.194127,4.513258,2.3225763,-1.9378115
1279128,5,0.7781512503836436,0.17138973,0.59301037,0.092037,0.5985312,-2.438002
1279180,330,2.519827993775719,0.9440997,-0.72120124,-0.8820609,-0.05937419,0.081439875
1279292,14445,4.159747610524273,1.6556693,1.6438457,6.4141507,1.0393126,-0.79459715
1279767,15092,4.178775572045411,1.672002,2.183482,0.32695282,-2.457609,-2.6461532
1279946,9,1.0,0.20252079,0.38952234,-0.58749497,-0.2737272,1.9689257
1280367,102,2.012837224705172,0.55103683,0.040890634,2.187109,-0.7559911,-6.338017
1280811,492,2.69284691927723,1.0997148,-3.9228344,2.6218266,1.1630979,-4.3572116
1280871,682,2.8344207036815328,1.2938563,2.10758,1.4831306,-1.0620173,0.52100474
1281050,17,1.255272505103306,0.26827,-0.8261536,0.2563486,3.4207962,-5.0487766
1281113,185,2.2695129442179165,0.70311385,0.08993553,-2.663986,-1.262804,1.2564816
