row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
5660461,13379,4.1264561134318045,1.7457534,-0.8666266,-3.3712661,-1.4863492,1.3349018,6.5278244,7.5704966
4049542,126,2.103803720955957,0.5726627,0.054050338,-0.4804686,-0.76355004,-1.4035914,6.765172,8.849795
522097,30379,4.482587769526767,1.9050972,-5.680136,5.2451777,1.0990876,-4.051925,1.8740313,12.8052435
1223253,3134,3.496237545166735,1.72798,5.849827,-0.17339794,-2.5437362,0.19646102,1.357756,9.343954
1501253,64,1.8129133566428555,0.4107071,-0.08451588,-0.5339903,-2.646284,-0.34382036,1.5835142,12.122217
1542677,19,1.3010299956639813,0.30478603,0.6504711,0.18313885,-1.2749177,-2.7126026,1.6775199,11.309817
5957053,278,2.4456042032735974,0.93239874,0.8267176,-1.0414953,-2.1596415,0.47172448,5.582123,7.1987967
5275758,4004,3.6026025204202563,1.8622799,-0.015038502,1.8316866,0.10324548,-0.70200354,4.0968485,9.501755
442068,42,1.6334684555795864,0.36532742,-0.6735293,-0.1872853,1.5137045,-0.20144865,1.65942,13.539613
4684326,250,2.399673721481038,0.7825234,0.02867182,-0.19157177,-1.3133875,-1.4437916,6.699129,8.179075
567777,16507,4.2176944602053785,2.033989,-3.6800265,-5.6159506,2.3180785,3.4954858,2.5424643,12.760939
2082792,11,1.0791812460476249,0.24166682,0.49689806,0.628464,-2.727282,-4.905458,1.0740869,11.562468
3349980,47,1.6812412373755872,0.40841052,0.6112823,0.735888,0.69880015,-2.5557935,1.112183,9.249859
170398,13097,4.117204986092783,1.8322072,2.4910572,-1.6911551,-0.70433855,0.8069351,2.2776194,9.452137
3934729,244,2.3891660843645326,0.6446409,0.13290113,-0.9401924,1.7053092,1.7866019,2.8215759,11.565833
1205517,1259,3.100370545117563,1.2741328,3.0893168,-5.6933436,-0.3543196,6.7573175,2.6409707,12.109993
694591,19,1.3010299956639813,0.29073328,0.4938435,-0.06868224,1.182527,-1.8177958,2.8040235,12.10025
511272,31,1.505149978319906,0.27835593,0.43130955,-0.543325,-2.8608139,-1.62252,1.5886827,10.654811
3184633,19137,4.28189655024606,1.8670605,2.5427673,6.8621845,-0.8208456,-2.0965471,1.2383474,8.041321
164823,552,2.7427251313046983,1.1509714,0.36377132,-2.4296918,-0.116579235,0.022500267,2.2789624,9.752229
187391,16932,4.228733908376136,1.8765916,-8.871624,0.19877192,5.096861,1.3329071,3.1283355,12.734272
3051567,45,1.662757831681574,0.4301112,0.62311155,-1.2023736,-0.638001,3.951438,3.2905927,11.6533985
4705573,104,2.0211892990699383,0.6137158,0.7056316,0.13946967,-1.7614117,-0.050965644,6.558888,7.560617
5417523,543,2.73559889969818,1.2042756,-0.242603,-0.064831465,-2.6091595,0.46454215,6.2828617,7.697893
