head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
3,2,3,577095,15517408,183,0.95916307,11548.87597656,?\n
4,2,4,443917,20364357,102,0.94570327,11507.39550781,!\n
10,3,4,2122089,51923609,170,0.76630950,11490.75683594,’T
2,2,2,1526097,11486297,254,0.86966109,11488.75097656,  a
10,3,4,1738181,51539701,70,0.93166625,11448.08300781,”\n
9,3,3,991505,45812832,123,0.91349506,11437.42187500,.”
0,2,0,3556648,3556648,88,0.82538056,11432.93750000,\n�
0,2,0,2259309,2259309,98,0.91655558,11431.10058594,. If
0,2,0,3513823,3513823,170,0.76823473,11420.52343750,�T
1,2,1,4109620,9089717,111,0.90116960,11411.76953125,\nI
6,3,0,2725723,32606493,357,0.77595115,11385.61425781,.\nThe
10,3,4,4073913,53875433,88,0.87515604,11325.53808594,\n“
4,2,4,3349787,23270227,70,0.93481117,11311.38183594,�\n
2,2,2,4109590,14069790,111,0.90138876,11300.33984375,\nI
6,3,0,991561,30872331,124,0.91328520,11297.21484375,.”
9,3,3,2888130,47709457,123,0.93747783,11283.09472656,.”
4,2,4,3233605,23154045,214,0.87371832,11224.70214844,. It
1,2,1,3350019,8330116,70,0.93480343,11173.80957031,�\n
8,3,2,3212099,43053235,65,0.90403652,11169.89746094,I’
3,2,3,444053,15384366,102,0.93985689,11168.97167969,!\n
2,2,2,444109,10404309,102,0.94051397,11149.24121094,!\n
2,2,2,3159190,13119390,88,0.89208102,11140.49316406, it�
1,2,1,4072139,9052236,148,0.86848813,11102.44628906,. In
2,2,2,1280044,11240244,133,0.79052705,11064.12792969,  which
3,2,3,3233775,18174088,214,0.86716640,11058.83300781,. It
5,2,5,3349755,28250356,70,0.93345672,11031.80761719,�\n
1,2,1,2738616,7718713,105,0.93394214,11015.08886719,\nIn
0,2,0,3233925,3233925,214,0.86793196,11007.09082031,. It
0,2,0,4109638,4109638,111,0.89780176,11005.94628906,\nI
2,2,2,3349979,13310179,70,0.94535446,10983.53710938,�\n
9,3,3,3212085,48033412,65,0.89418483,10976.89062500,I’
5,2,5,443885,25344486,102,0.93703663,10972.98437500,!\n
3,2,3,4109548,19049861,111,0.85734797,10971.50292969,\nI
4,2,4,2738442,22658882,105,0.91762620,10947.53417969,\nIn
11,3,5,2938308,57720039,101,0.95095026,10914.79980469, ”
4,2,4,4155565,24076005,254,0.92385066,10873.53027344,  a
6,3,0,2938602,32819372,101,0.94676781,10853.76953125, ”
7,3,1,2725675,37586624,357,0.77046943,10850.09960938,.\nThe
11,3,5,4697015,59478746,43,0.94910687,10807.58789062,’re
5,2,5,3251048,28151649,120,0.94031811,10800.83886719, and a
8,3,2,4074053,43915189,88,0.84926546,10784.52636719,\n“
7,3,1,3212127,38073076,65,0.92183149,10766.56152344,I’
3,2,3,598422,15538735,156,0.90197188,10766.26562500,. This
3,2,3,2939793,17880106,127,0.89292759,10764.82812500,.�
8,3,2,2938518,42779654,101,0.93802500,10737.10742188, ”
2,2,2,4072139,14032339,148,0.81316286,10726.01171875,. In
5,2,5,598086,25498687,156,0.89942414,10694.22363281,. This
11,3,5,3211889,57993620,65,0.92643416,10691.92871094,I’
1,2,1,3298169,8278266,143,0.89885128,10685.73535156,  it
4,2,4,1279996,21200436,133,0.79972512,10647.80468750,  which
3,2,3,4155565,19095878,254,0.94509810,10629.07812500,  a
4,2,4,354853,20275293,109,0.95383662,10628.53125000,)\n
4,2,4,598150,20518590,156,0.89195895,10621.46093750,. This
9,3,3,1738253,46559580,70,0.91142237,10594.50000000,”\n
1,2,1,2259309,7239406,98,0.89318800,10547.81738281,. If
8,3,2,1738261,41579397,70,0.89926159,10507.06347656,”\n
2,2,2,4107070,14067270,535,0.57787937,10480.82617188,. The
3,2,3,4070778,19011091,58,0.89871961,10479.44726562,. He
3,2,3,2708187,17648500,564,0.62189275,10466.62792969,\nThe
